object,STATUS,note
CAND0001,ANALYSED,n=2017 ncalls=1 mod=edge_research.cand0001_pdh_pdl
CAND0002,ANALYSED,n=3211 ncalls=1 mod=edge_research.cand0002_compression_expansion
CAND0004,ANALYSED,n=219 ncalls=1 mod=edge_research.cand0004_void_reaction
CAND0005,ANALYSED,n=4736 ncalls=1 mod=edge_research.cand0005_bpr_reaction
CAND0006,ANALYSED,n=391 ncalls=1 mod=edge_research.cand0006_weekly_level
CAND0009,ANALYSED,n=1619 ncalls=1 mod=edge_research.cand0009_level_break_drive
CAND0027,ANALYSED,n=7652 ncalls=1 mod=edge_research.cand0027_session_fade
CAND0037,ANALYSED,n=382 ncalls=1 mod=edge_research.cand0037_canonical
CAND0038,ANALYSED,n=253 ncalls=1 mod=edge_research.cand0038_weekly_break_displacement
E005,GENUINE_FAILED_REGENERATION,"HTF_SOURCE_SEALED: strategy requires H1 up-front, but H1 status=AWAITING_REGIME_MAP is 100% sealed under ratified governance -> HoldoutConfigError"
E006,GENUINE_FAILED_REGENERATION,"HTF_SOURCE_ABSENT: strategy requires a D1 feed loaded up-front, but D1 is not a ratified manifest timeframe (governed loader serves M15/M15_v2/M5/H1 only) -> IdentifierError"
E008,GENUINE_FAILED_REGENERATION,"HTF_SOURCE_SEALED: strategy requires H1 up-front, but H1 status=AWAITING_REGIME_MAP is 100% sealed under ratified governance -> HoldoutConfigError"
E009,GENUINE_FAILED_REGENERATION,NO_TRADE_POPULATION: module ran but built no canonical trade ledger (information-test: no entry/exit/PnL)
E010,GENUINE_FAILED_REGENERATION,"HTF_SOURCE_ABSENT: strategy requires a D1 feed loaded up-front, but D1 is not a ratified manifest timeframe (governed loader serves M15/M15_v2/M5/H1 only) -> IdentifierError"
E011,GENUINE_FAILED_REGENERATION,"HTF_SOURCE_ABSENT: strategy requires a D1 feed loaded up-front, but D1 is not a ratified manifest timeframe (governed loader serves M15/M15_v2/M5/H1 only) -> IdentifierError"
E012,GENUINE_FAILED_REGENERATION,"HTF_SOURCE_ABSENT: strategy requires a D1 feed loaded up-front, but D1 is not a ratified manifest timeframe (governed loader serves M15/M15_v2/M5/H1 only) -> IdentifierError"
E014,GENUINE_FAILED_REGENERATION,"HTF_SOURCE_ABSENT: strategy requires a D1 feed loaded up-front, but D1 is not a ratified manifest timeframe (governed loader serves M15/M15_v2/M5/H1 only) -> IdentifierError"
E015,GENUINE_FAILED_REGENERATION,"HTF_SOURCE_ABSENT: strategy requires a D1 feed loaded up-front, but D1 is not a ratified manifest timeframe (governed loader serves M15/M15_v2/M5/H1 only) -> IdentifierError"
E017,GENUINE_FAILED_REGENERATION,NO_TRADE_POPULATION: module ran but built no canonical trade ledger (information-test: no entry/exit/PnL)
E025,GENUINE_FAILED_REGENERATION,NO_TRADE_POPULATION: module ran but built no canonical trade ledger (information-test: no entry/exit/PnL)
E026,GENUINE_FAILED_REGENERATION,"HTF_SOURCE_ABSENT: strategy requires a D1 feed loaded up-front, but D1 is not a ratified manifest timeframe (governed loader serves M15/M15_v2/M5/H1 only) -> IdentifierError"
E027,GENUINE_FAILED_REGENERATION,"HTF_SOURCE_SEALED: strategy requires H1 up-front, but H1 status=AWAITING_REGIME_MAP is 100% sealed under ratified governance -> HoldoutConfigError"
E028,GENUINE_FAILED_REGENERATION,NO_TRADE_POPULATION: module ran but built no canonical trade ledger (information-test: no entry/exit/PnL)
E029,GENUINE_FAILED_REGENERATION,NO_TRADE_POPULATION: module ran but built no canonical trade ledger (information-test: no entry/exit/PnL)
E032,GENUINE_FAILED_REGENERATION,"HTF_SOURCE_ABSENT: strategy requires a D1 feed loaded up-front, but D1 is not a ratified manifest timeframe (governed loader serves M15/M15_v2/M5/H1 only) -> IdentifierError"
DIRECTION_AGNOSTIC_EXPANSION_HARVEST_V1,ANALYSED,n=4519 dae daily-open +/-0.25PDR cont (GRAMMAR_INDEX_0)
LONG_HORIZON_EVENT_REVEALED_DIRECTION_V1,GENUINE_FAILED_REGENERATION,NO_TRADE_POPULATION: primary script ran but evaluated no canonical trade ledger (information/conditional-response frontier)
CROSS_MARKET_RELATIVE_RESPONSE_FACTORY_V1,GENUINE_FAILED_REGENERATION,NO_TRADE_POPULATION: primary script ran but evaluated no canonical trade ledger (information/conditional-response frontier)
OB_RETEST_FACTORY_V1,GENUINE_FAILED_REGENERATION,NO_SINGLE_TRADE_POPULATION: factory/library object with no canonical single-strategy driver (multi-mode/meta) — no unambiguous frozen trade population to attribute
DXY_FRONTIER_V1,GENUINE_FAILED_REGENERATION,NO_TRADE_POPULATION: primary script ran but evaluated no canonical trade ledger (information/conditional-response frontier)
VOLTIME_FRONTIER,GENUINE_FAILED_REGENERATION,NO_TRADE_POPULATION: primary script ran but evaluated no canonical trade ledger (information/conditional-response frontier)
VOLPATH_FRONTIER,GENUINE_FAILED_REGENERATION,NO_TRADE_POPULATION: primary script ran but evaluated no canonical trade ledger (information/conditional-response frontier)
TEMPORAL_SEQUENCE_MINING_V1,GENUINE_FAILED_REGENERATION,NO_TRADE_POPULATION: primary script ran but evaluated no canonical trade ledger (information/conditional-response frontier)
SESSION_FRONTIER_SF1_SF3,GENUINE_FAILED_REGENERATION,NO_SINGLE_TRADE_POPULATION: factory/library object with no canonical single-strategy driver (multi-mode/meta) — no unambiguous frozen trade population to attribute
BLIND_FORWARD_STRUCTURE_DISCOVERY_V1,GENUINE_FAILED_REGENERATION,NO_TRADE_POPULATION: primary script ran but evaluated no canonical trade ledger (information/conditional-response frontier)
CHRONOLOGICAL_MARKET_LEARNING,GENUINE_FAILED_REGENERATION,NO_TRADE_POPULATION: primary script ran but evaluated no canonical trade ledger (information/conditional-response frontier)
ALPHA_DISCOVERY_FACTORY_V2,GENUINE_FAILED_REGENERATION,NO_SINGLE_TRADE_POPULATION: factory/library object with no canonical single-strategy driver (multi-mode/meta) — no unambiguous frozen trade population to attribute
M5_EVENT_REVEALED_DIRECTION_FACTORY_V1,ANALYSED,"n=3636 Family E 2R (M5-native, backward-asof join)"
H1_H4_SETUP_M5_EXECUTION_V1,GENUINE_FAILED_REGENERATION,"NO_SINGLE_TRADE_POPULATION: 5-edge HTF->M5 campaign (pullback/breakout/reject/failbreak/transition), no single canonical strategy"
COMP_CONT_L_RR2,ANALYSED,"n=53 frontier5_compcont LONG rr2 STRESS (H4-native, backward-asof)"
CRS1_H4DIV_FADE_S,ANALYSED,n=2 cur_cr13_trade curlike H4up SHORT 1.5ATR rr2 dedup16 (H4-native; thin current-like gate)
H4_BO_RAW_S,GENUINE_FAILED_REGENERATION,REPRESENTATIVE_UNRESOLVED: frozen candidate selected post-hoc from a multi-candidate batch scan; no unique executable representative declared (REP_ID=nan)
HR_TU_PB_L,GENUINE_FAILED_REGENERATION,REPRESENTATIVE_UNRESOLVED: frozen weak candidate from batch scan; no unique executable representative declared
MT_H4_DISPACCEPT_L,GENUINE_FAILED_REGENERATION,REPRESENTATIVE_UNRESOLVED: frozen weak candidate from batch scan; no unique executable representative declared
E015_ORDER_BLOCK_REMITIGATION,GENUINE_FAILED_REGENERATION,"HTF_SOURCE_ABSENT: order-block remitigation requires D1 (not a ratified manifest timeframe), same blocker as edge_research E015"
