FAMILY_ID,REP_ID,RULE,SPEC,N_VARIANTS,SIDE_DIM,RAN,STATUS
S1,4b7c6d5c6035,GRAMMAR_FIRST_PER_SIDE=high,"{""confirm"": ""consecutive2"", ""exit"": ""rr2"", ""imb"": ""none"", ""liq_lb"": 20, ""liq_ref"": ""swing"", ""side"": ""high"", ""stop"": ""beyond_sweep"", ""window"": 4}",1152,side,True,ELIGIBLE
S1,11c4710e404e,GRAMMAR_FIRST_PER_SIDE=low,"{""confirm"": ""consecutive2"", ""exit"": ""rr2"", ""imb"": ""none"", ""liq_lb"": 20, ""liq_ref"": ""swing"", ""side"": ""low"", ""stop"": ""beyond_sweep"", ""window"": 4}",1152,side,True,ELIGIBLE
S2,691f36c634e3,GRAMMAR_FIRST_PER_SIDE=high,"{""exit"": ""rr2"", ""fail_within"": 2, ""lb"": 20, ""ref"": ""swing"", ""side"": ""high"", ""stop"": ""beyond_ext""}",144,side,True,ELIGIBLE
S2,2c6012247423,GRAMMAR_FIRST_PER_SIDE=low,"{""exit"": ""rr2"", ""fail_within"": 2, ""lb"": 20, ""ref"": ""swing"", ""side"": ""low"", ""stop"": ""beyond_ext""}",144,side,True,ELIGIBLE
S3,7aafa506c507,GRAMMAR_FIRST_PER_SIDE=up,"{""exit"": ""rr2"", ""lb"": 20, ""ref"": ""swing"", ""retest_within"": 4, ""side"": ""up"", ""stop"": ""beyond_level""}",96,side,True,ELIGIBLE
S3,37a51a4fd454,GRAMMAR_FIRST_PER_SIDE=down,"{""exit"": ""rr2"", ""lb"": 20, ""ref"": ""swing"", ""retest_within"": 4, ""side"": ""down"", ""stop"": ""beyond_level""}",96,side,True,ELIGIBLE
S4,cf232107e3b5,GRAMMAR_INDEX_0,"{""exit"": ""rr2"", ""exp_k"": 1.5, ""min_compress"": 1, ""stop"": ""bar""}",32,,True,ELIGIBLE
S5,15be26301532,GRAMMAR_FIRST_PER_SIDE=up,"{""exit"": ""rr2"", ""mode"": ""breakout"", ""session"": ""asia"", ""side"": ""up"", ""stop"": ""or_opp""}",96,side,True,ELIGIBLE
S5,9cce3e63e04e,GRAMMAR_FIRST_PER_SIDE=down,"{""exit"": ""rr2"", ""mode"": ""breakout"", ""session"": ""asia"", ""side"": ""down"", ""stop"": ""or_opp""}",96,side,True,ELIGIBLE
S6,a461ec93f607,GRAMMAR_FIRST_PER_SIDE=up,"{""exit"": ""rr2"", ""mode"": ""breakout"", ""session"": ""london"", ""side"": ""up"", ""stop"": ""prev_ext""}",32,side,True,ELIGIBLE
