OBJECT_ID,FAMILY_ID,MECHANISM_ID,NAME,BLOCK,SOURCE_PROGRAM,SOURCE_REPORT,SOURCE_COMMIT,TIMEFRAME,DIRECTION,DATE_RANGE,VARIANTS,TRADES,BEST_VARIANT_EXP,STATUS,TRADE_LEVEL_DATA_AVAILABLE,TRADE_LOG_PATH,CAN_CAUSALLY_REGENERATE_TRADES,REGENERATOR,ATTRIBUTION_CLASS,KNOWN_DEFECTS,SUPERSEDES,SUPERSEDED_BY
S1,S1,M01_LIQUIDITY_SWEEP,Confirmed Liquidity Sweep Reversal,A,Executable Strategy Library (ENGINE v2),results/FAMILY_RESULTS.parquet | results/ext_families/,,M15 (HTF context per family),BOTH,2011-07-26..2026-07 (research 60/val 20/holdout 20),1152,449239,0.3911,NEGATIVE,NO (summary parquet only),,YES,"code/mstrat.py:backtest() / code/mstrat_ext.py + simulate() -> ledger cols R,si,ei",B_REGENERATE_FROM_FROZEN_SPEC,,,
S10,S10,M10_DISPLACEMENT_CONTINUATION,Displacement Continuation,A,Executable Strategy Library (ENGINE v2),results/FAMILY_RESULTS.parquet | results/ext_families/,,M15 (HTF context per family),BOTH,2011-07-26..2026-07 (research 60/val 20/holdout 20),48,84762,-0.0505,NEGATIVE,NO (summary parquet only),,YES,"code/mstrat.py:backtest() / code/mstrat_ext.py + simulate() -> ledger cols R,si,ei",B_REGENERATE_FROM_FROZEN_SPEC,,,
S11,S11,M11_STRUCTURE_BREAK_REVERSAL,Structure-Break Reversal (CHoCH),A,Executable Strategy Library (ENGINE v2),results/FAMILY_RESULTS.parquet | results/ext_families/,,M15 (HTF context per family),both,2011-07-26..2026-07 (research 60/val 20/holdout 20),24,17865,-0.0525,NEGATIVE,NO (summary parquet only),,YES,"code/mstrat.py:backtest() / code/mstrat_ext.py + simulate() -> ledger cols R,si,ei",B_REGENERATE_FROM_FROZEN_SPEC,,,
S12,S12,M12_RANGE_ROTATION,Range Rotation,A,Executable Strategy Library (ENGINE v2),results/FAMILY_RESULTS.parquet | results/ext_families/,,M15 (HTF context per family),BOTH,2011-07-26..2026-07 (research 60/val 20/holdout 20),48,72369,-0.0365,NEGATIVE,NO (summary parquet only),,YES,"code/mstrat.py:backtest() / code/mstrat_ext.py + simulate() -> ledger cols R,si,ei",B_REGENERATE_FROM_FROZEN_SPEC,,,
S13,S13,M13_IMBALANCE_FVG,Imbalance Fill,A,Executable Strategy Library (ENGINE v2),results/FAMILY_RESULTS.parquet | results/ext_families/,,M15 (HTF context per family),BOTH,2011-07-26..2026-07 (research 60/val 20/holdout 20),24,46534,0.0405,NEGATIVE,NO (summary parquet only),,YES,"code/mstrat.py:backtest() / code/mstrat_ext.py + simulate() -> ledger cols R,si,ei",B_REGENERATE_FROM_FROZEN_SPEC,,,
S14,S14,M08_EXTENSION_MEAN_REVERSION,Momentum Exhaustion,A,Executable Strategy Library (ENGINE v2),results/FAMILY_RESULTS.parquet | results/ext_families/,,M15 (HTF context per family),BOTH,2011-07-26..2026-07 (research 60/val 20/holdout 20),16,1064,0.5785,NEGATIVE,NO (summary parquet only),,YES,"code/mstrat.py:backtest() / code/mstrat_ext.py + simulate() -> ledger cols R,si,ei",B_REGENERATE_FROM_FROZEN_SPEC,,,
S15,S15,M07_TREND_CONTINUATION,Trend Acceleration,A,Executable Strategy Library (ENGINE v2),results/FAMILY_RESULTS.parquet | results/ext_families/,,M15 (HTF context per family),both,2011-07-26..2026-07 (research 60/val 20/holdout 20),24,36735,-0.05,NEGATIVE,NO (summary parquet only),,YES,"code/mstrat.py:backtest() / code/mstrat_ext.py + simulate() -> ledger cols R,si,ei",B_REGENERATE_FROM_FROZEN_SPEC,,,
S16,S16,M14_REFERENCE_LEVEL,Previous-Day Levels,A,Executable Strategy Library (ENGINE v2),results/FAMILY_RESULTS.parquet | results/ext_families/,,M15 (HTF context per family),BOTH,2011-07-26..2026-07 (research 60/val 20/holdout 20),40,31961,0.0316,NEGATIVE,NO (summary parquet only),,YES,"code/mstrat.py:backtest() / code/mstrat_ext.py + simulate() -> ledger cols R,si,ei",B_REGENERATE_FROM_FROZEN_SPEC,,,
S17,S17,M14_REFERENCE_LEVEL,Weekly Levels,A,Executable Strategy Library (ENGINE v2),results/FAMILY_RESULTS.parquet | results/ext_families/,,M15 (HTF context per family),BOTH,2011-07-26..2026-07 (research 60/val 20/holdout 20),24,4594,0.4235,NEGATIVE,NO (summary parquet only),,YES,"code/mstrat.py:backtest() / code/mstrat_ext.py + simulate() -> ledger cols R,si,ei",B_REGENERATE_FROM_FROZEN_SPEC,,,
S18,S18,M06_SESSION_TIME,Time-of-Day Edge,A,Executable Strategy Library (ENGINE v2),results/FAMILY_RESULTS.parquet | results/ext_families/,,M15 (HTF context per family),BOTH,2011-07-26..2026-07 (research 60/val 20/holdout 20),24,13136,0.177,NEGATIVE,NO (summary parquet only),,YES,"code/mstrat.py:backtest() / code/mstrat_ext.py + simulate() -> ledger cols R,si,ei",B_REGENERATE_FROM_FROZEN_SPEC,,,
S19,S19,M15_GAP,Session Gap,A,Executable Strategy Library (ENGINE v2),results/FAMILY_RESULTS.parquet | results/ext_families/,,M15 (HTF context per family),BOTH,2011-07-26..2026-07 (research 60/val 20/holdout 20),12,210,0.9155,NEGATIVE,NO (summary parquet only),,YES,"code/mstrat.py:backtest() / code/mstrat_ext.py + simulate() -> ledger cols R,si,ei",B_REGENERATE_FROM_FROZEN_SPEC,,,
S2,S2,M02_FAILED_BREAKOUT_FADE,Failed-Breakout Fade,A,Executable Strategy Library (ENGINE v2),results/FAMILY_RESULTS.parquet | results/ext_families/,,M15 (HTF context per family),BOTH,2011-07-26..2026-07 (research 60/val 20/holdout 20),144,132555,0.0746,NEGATIVE,NO (summary parquet only),,YES,"code/mstrat.py:backtest() / code/mstrat_ext.py + simulate() -> ledger cols R,si,ei",B_REGENERATE_FROM_FROZEN_SPEC,,,
S20,S20,M21_META_ROUTER,Hybrid Sweep + MTF,A,Executable Strategy Library (ENGINE v2),results/FAMILY_RESULTS.parquet | results/ext_families/,,M15 (HTF context per family),BOTH,2011-07-26..2026-07 (research 60/val 20/holdout 20),32,18183,0.0994,NEGATIVE,NO (summary parquet only),,YES,"code/mstrat.py:backtest() / code/mstrat_ext.py + simulate() -> ledger cols R,si,ei",B_REGENERATE_FROM_FROZEN_SPEC,,,
S21,S21,M01_LIQUIDITY_SWEEP,Equal-Highs/Lows Liquidity-Pool Raid,A,Executable Strategy Library (ENGINE v2),results/FAMILY_RESULTS.parquet | results/ext_families/,,M15 (HTF context per family),BOTH,2011-07-26..2026-07 (research 60/val 20/holdout 20),48,74466,-0.0923,NEGATIVE,NO (summary parquet only),,YES,"code/mstrat.py:backtest() / code/mstrat_ext.py + simulate() -> ledger cols R,si,ei",B_REGENERATE_FROM_FROZEN_SPEC,,,
S22,S22,M14_REFERENCE_LEVEL,Round-Number Magnet / Rejection,A,Executable Strategy Library (ENGINE v2),results/FAMILY_RESULTS.parquet | results/ext_families/,,M15 (HTF context per family),both,2011-07-26..2026-07 (research 60/val 20/holdout 20),24,14735,0.1207,NEGATIVE,NO (summary parquet only),,YES,"code/mstrat.py:backtest() / code/mstrat_ext.py + simulate() -> ledger cols R,si,ei",B_REGENERATE_FROM_FROZEN_SPEC,,,
S23,S23,M04_VOLATILITY_COMPRESSION_EXPANSION,Squeeze Breakout + HTF Filter,A,Executable Strategy Library (ENGINE v2),results/FAMILY_RESULTS.parquet | results/ext_families/,,M15 (HTF context per family),both,2011-07-26..2026-07 (research 60/val 20/holdout 20),32,31423,-0.0911,NEGATIVE,NO (summary parquet only),,YES,"code/mstrat.py:backtest() / code/mstrat_ext.py + simulate() -> ledger cols R,si,ei",B_REGENERATE_FROM_FROZEN_SPEC,,,
S24,S24,M06_SESSION_TIME,Overnight Variance / Session Carry,A,Executable Strategy Library (ENGINE v2),results/FAMILY_RESULTS.parquet | results/ext_families/,,M15 (HTF context per family),both,2011-07-26..2026-07 (research 60/val 20/holdout 20),24,13212,0.0815,NEGATIVE,NO (summary parquet only),,YES,"code/mstrat.py:backtest() / code/mstrat_ext.py + simulate() -> ledger cols R,si,ei",B_REGENERATE_FROM_FROZEN_SPEC,,,
S25,S25,M04_VOLATILITY_COMPRESSION_EXPANSION,Volatility-Regime Onset,A,Executable Strategy Library (ENGINE v2),results/FAMILY_RESULTS.parquet | results/ext_families/,,M15 (HTF context per family),both,2011-07-26..2026-07 (research 60/val 20/holdout 20),12,9730,-0.0801,NEGATIVE,NO (summary parquet only),,YES,"code/mstrat.py:backtest() / code/mstrat_ext.py + simulate() -> ledger cols R,si,ei",B_REGENERATE_FROM_FROZEN_SPEC,,,
S26,S26,M16_AUCTION_VALUE,Value-Area Rejection / Acceptance,A,Executable Strategy Library (ENGINE v2),results/FAMILY_RESULTS.parquet | results/ext_families/,,M15 (HTF context per family),both,2011-07-26..2026-07 (research 60/val 20/holdout 20),32,47151,-0.1226,NEGATIVE,NO (summary parquet only),,YES,"code/mstrat.py:backtest() / code/mstrat_ext.py + simulate() -> ledger cols R,si,ei",B_REGENERATE_FROM_FROZEN_SPEC,,,
S27,S27,M16_AUCTION_VALUE,VWAP Reclaim in Trend,A,Executable Strategy Library (ENGINE v2),results/FAMILY_RESULTS.parquet | results/ext_families/,,M15 (HTF context per family),both,2011-07-26..2026-07 (research 60/val 20/holdout 20),24,81208,-0.0642,NEGATIVE,NO (summary parquet only),,YES,"code/mstrat.py:backtest() / code/mstrat_ext.py + simulate() -> ledger cols R,si,ei",B_REGENERATE_FROM_FROZEN_SPEC,,,
S28,S28,M16_AUCTION_VALUE,Anchored-VWAP Reaction,A,Executable Strategy Library (ENGINE v2),results/FAMILY_RESULTS.parquet | results/ext_families/,,M15 (HTF context per family),both,2011-07-26..2026-07 (research 60/val 20/holdout 20),12,8769,-0.0402,NEGATIVE,NO (summary parquet only),,YES,"code/mstrat.py:backtest() / code/mstrat_ext.py + simulate() -> ledger cols R,si,ei",B_REGENERATE_FROM_FROZEN_SPEC,,,
