OBJECT_ID,TIER,SOURCE
HTF_PBK_TREND,T1_LOG_EXISTS,Alpha V1 generators
HTF_RANGE_FADE,T1_LOG_EXISTS,Alpha V1 generators
HTF_RECLAIM,T1_LOG_EXISTS,Alpha V1 generators
HTF_TGT_BREAK,T1_LOG_EXISTS,Alpha V1 generators
OBEXEC_B,T1_LOG_EXISTS,Alpha V1 generators
OBEXEC_C,T1_LOG_EXISTS,Alpha V1 generators
OBEXEC_D,T1_LOG_EXISTS,Alpha V1 generators
OBR_A_limit,T1_LOG_EXISTS,Alpha V1 generators
SESS_A,T1_LOG_EXISTS,Alpha V1 generators
SESS_B,T1_LOG_EXISTS,Alpha V1 generators
SESS_C,T1_LOG_EXISTS,Alpha V1 generators
SESS_D,T1_LOG_EXISTS,Alpha V1 generators
SESS_E,T1_LOG_EXISTS,Alpha V1 generators
SESS_Fc,T1_LOG_EXISTS,Alpha V1 generators
S1::4b7c6d5c6035,T1_REGENERATE_SLIB,GRAMMAR_FIRST_PER_SIDE=high
S1::11c4710e404e,T1_REGENERATE_SLIB,GRAMMAR_FIRST_PER_SIDE=low
S2::691f36c634e3,T1_REGENERATE_SLIB,GRAMMAR_FIRST_PER_SIDE=high
S2::2c6012247423,T1_REGENERATE_SLIB,GRAMMAR_FIRST_PER_SIDE=low
S3::7aafa506c507,T1_REGENERATE_SLIB,GRAMMAR_FIRST_PER_SIDE=up
S3::37a51a4fd454,T1_REGENERATE_SLIB,GRAMMAR_FIRST_PER_SIDE=down
S4::cf232107e3b5,T1_REGENERATE_SLIB,GRAMMAR_INDEX_0
S5::15be26301532,T1_REGENERATE_SLIB,GRAMMAR_FIRST_PER_SIDE=up
S5::9cce3e63e04e,T1_REGENERATE_SLIB,GRAMMAR_FIRST_PER_SIDE=down
S6::a461ec93f607,T1_REGENERATE_SLIB,GRAMMAR_FIRST_PER_SIDE=up
S6::7199b701458a,T1_REGENERATE_SLIB,GRAMMAR_FIRST_PER_SIDE=down
S7::98a2f4583fb9,T1_REGENERATE_SLIB,GRAMMAR_INDEX_0
S8::ec037f864152,T1_REGENERATE_SLIB,GRAMMAR_FIRST_PER_SIDE=up
S8::b7adfd7f9d4f,T1_REGENERATE_SLIB,GRAMMAR_FIRST_PER_SIDE=down
S9::731bd4dd4aa4,T1_REGENERATE_SLIB,GRAMMAR_INDEX_0
S10::598adad042be,T1_REGENERATE_SLIB,GRAMMAR_FIRST_PER_SIDE=up
S10::7df75fdb8ecb,T1_REGENERATE_SLIB,GRAMMAR_FIRST_PER_SIDE=down
S11::576394ea476f,T1_REGENERATE_SLIB,GRAMMAR_INDEX_0
S12::884efeda36f3,T1_REGENERATE_SLIB,GRAMMAR_FIRST_PER_SIDE=up
S12::061854e10b15,T1_REGENERATE_SLIB,GRAMMAR_FIRST_PER_SIDE=down
S13::7d288aa44d52,T1_REGENERATE_SLIB,GRAMMAR_INDEX_0
S14::dc07a2d5d013,T1_REGENERATE_SLIB,GRAMMAR_FIRST_PER_SIDE=up
